P03P04 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
023-01-01-G-DB\SM_EXBX\7.7DFX_Jet   0.00e+00      0.0   2.81e-05
023-01-01-G-DB\SM_EXBX\7.7DFO_Jet   0.00e+00      0.0   2.81e-05
023-01-01-G-DB\SM_EXBX\2.9FFX_Jet   0.00e+00      0.0   2.81e-05
023-01-01-G-DB\SM_EXBX\2.9FFO_Jet   0.00e+00      0.0   2.81e-05
023-01-01-G-DB\SM_EXBO\14.5DFO_Jet  0.00e+00      0.0   2.81e-05
023-01-01-G-DB\SM_EXBO\7.7DFO_Jet   0.00e+00      0.0   2.81e-05
023-01-01-G-DB\SM_EXBO\2.9FFO_Jet   0.00e+00      0.0   2.81e-05
023-01-01-G-DB\SM_EOBX\14.5DFO_Jet  0.00e+00      0.0   2.81e-05
023-01-01-G-DB\SM_EOBX\7.7DFO_Jet   0.00e+00      0.0   2.81e-05
023-01-01-G-DB\SM_EOBX\2.9FFO_Jet   0.00e+00      0.0   2.81e-05
023-01-01-G-DB\SM_EOBO\14.5DFO_Jet  0.00e+00      0.0   2.81e-05
023-01-01-G-DB\SM_EOBO\7.7DFO_Jet   0.00e+00      0.0   2.81e-05
023-01-01-G-DB\SM_EOBO\2.9FFO_Jet   0.00e+00      0.0   2.81e-05
023-01-01-G-DA\SM_EXBX\14.5DFX_Jet  0.00e+00      0.0   2.81e-05
023-01-01-G-DA\SM_EXBX\14.5DFO_Jet  0.00e+00      0.0   2.81e-05
023-01-01-G-DA\SM_EXBX\7.7DFX_Jet   0.00e+00      0.0   2.81e-05
023-01-01-G-DA\SM_EXBX\7.7DFO_Jet   0.00e+00      0.0   2.81e-05
023-01-01-G-DA\SM_EXBX\2.9FFX_Jet   0.00e+00      0.0   2.81e-05
023-01-01-G-DA\SM_EXBX\2.9FFO_Jet   0.00e+00      0.0   2.81e-05
023-01-01-G-DA\SM_EXBO\14.5DFO_Jet  0.00e+00      0.0   2.81e-05
023-01-01-G-DA\SM_EXBO\7.7DFO_Jet   0.00e+00      0.0   2.81e-05
023-01-01-G-DA\SM_EXBO\2.9FFO_Jet   0.00e+00      0.0   2.81e-05
023-01-01-G-DA\SM_EOBX\14.5DFO_Jet  0.00e+00      0.0   2.81e-05
023-01-01-G-DA\SM_EOBX\7.7DFO_Jet   0.00e+00      0.0   2.81e-05
023-01-01-G-DA\SM_EOBX\2.9FFO_Jet   0.00e+00      0.0   2.81e-05
023-01-01-G-DA\SM_EOBO\14.5DFO_Jet  0.00e+00      0.0   2.81e-05
023-01-01-G-DA\SM_EOBO\7.7DFO_Jet   0.00e+00      0.0   2.81e-05
023-01-01-G-DA\SM_EOBO\2.9FFO_Jet   0.00e+00      0.0   2.81e-05
